City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
642,Iki-Burul,RU,71.94,scattered clouds,45.8208,44.6472,
643,Saint-Francois,FR,71.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
645,Shache,CN,79.56,few clouds,38.4167,77.2406,Delong Hotel
646,Villarrica,PY,91.44,broken clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
647,Carlsbad,US,79.09,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
648,Lake Charles,US,80.58,overcast clouds,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
655,Ikere,NG,81.07,overcast clouds,7.4913,5.2322,Inisa Gardens Hotel & Events Centre
656,Demerval Lobao,BR,89.01,broken clouds,-5.3583,-42.6764,Pousada Da Paz
659,Balkhash,KZ,72.88,few clouds,46.843999999999994,74.9804,Family
660,Tulum,MX,89.65,few clouds,20.2167,-87.4667,Kin Ha Tulum
662,Port Blair,IN,82.08,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
665,Santa Cruz De La Palma,ES,70.14,few clouds,28.6835,-17.7642,H10 Taburiente Playa
671,Fayaoue,NC,73.27,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
672,Villa San Giovanni,IT,73.63,clear sky,38.2276,15.6386,Capo Peloro Resort
673,San Lucas,MX,84.96,broken clouds,16.6,-92.7167,"Posada "" El rapidin"""
674,Loandjili,CG,80.71,few clouds,-4.7561,11.8578,Résidence ARCHANGE
677,Kharan,PK,94.37,clear sky,28.5833,65.4167,Dil Aram Bangla
678,Baghmara,IN,83.89,few clouds,23.795,86.2085,Shankar tea shop
679,Carbonia,IT,74.35,scattered clouds,39.1672,8.5222,Lu 'Hotel
680,Panacan,PH,80.85,broken clouds,9.2463,118.4082,Mom's Place Resort
681,Rock Sound,BS,77.45,broken clouds,24.9,-76.2,Rock Sound Club
682,Biu,NG,90.73,broken clouds,10.6129,12.1946,Emir's Palace
685,Xuddur,SO,76.87,overcast clouds,4.1213,43.8894,Banjanay Hotel
687,Lixourion,GR,76.86,broken clouds,38.2019,20.4314,Hotel Summery
688,Alexandria,EG,73.36,scattered clouds,31.2156,29.9553,Royal Crown Hotel
689,Hamilton,US,71.2,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
691,Bereda,ES,70.41,broken clouds,43.2686,-7.5406,Pazo de Verdes
694,Borba,BR,93.94,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
