City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Catuday,PH,16.2923,119.8062,83.28,75,40,6.91,scattered clouds
300,Airai,TL,-8.9266,125.4092,58.26,95,61,3.74,broken clouds
301,Bodden Town,KY,19.2833,-81.25,86.0,62,75,1.01,broken clouds
302,Barra Do Bugres,BR,-15.0725,-57.1811,95.85,26,100,10.51,overcast clouds
303,Mehran,IR,33.1222,46.1646,92.68,9,0,1.99,clear sky
304,Palauig,PH,15.435,119.9045,83.03,78,63,5.39,broken clouds
305,Lima,PE,-12.0432,-77.0282,62.85,88,90,5.75,overcast clouds
306,Sur,OM,22.5667,59.5289,88.29,43,0,9.84,clear sky
307,Carmen,MX,18.6333,-91.8333,86.04,66,40,13.8,scattered clouds
308,Synya,RU,65.3718,58.0387,43.48,78,100,8.37,overcast clouds
309,Mamakan,RU,57.8161,114.0028,47.53,85,69,1.59,broken clouds
310,Lockport,US,41.5895,-88.0578,48.34,88,90,19.57,overcast clouds
311,Piterka,RU,50.6803,47.4454,69.35,70,100,2.93,overcast clouds
312,Komsomolskiy,UZ,40.4272,71.7189,79.52,31,1,4.61,clear sky
313,Swift Current,CA,50.2834,-107.8014,65.21,27,20,25.32,few clouds
314,Buraydah,SA,26.326,43.975,99.05,14,69,8.1,broken clouds
315,Bichura,RU,50.5881,107.6022,46.92,64,81,1.72,broken clouds
316,Tromso,NO,69.6496,18.957,44.38,70,75,3.0,broken clouds
317,Homer,US,59.6425,-151.5483,51.76,70,90,4.61,overcast clouds
318,Rundu,NA,-17.9333,19.7667,64.96,24,0,3.65,clear sky
319,San Policarpo,PH,12.1791,125.5072,81.68,82,92,2.82,overcast clouds
320,Hirado,JP,33.3597,129.5531,63.93,75,29,19.69,scattered clouds
321,Menongue,AO,-14.6585,17.691,62.96,29,0,4.68,clear sky
322,Isangel,VU,-19.55,169.2667,70.09,79,56,5.17,broken clouds
323,Izumo,JP,35.3667,132.7667,58.95,91,84,18.92,broken clouds
324,Rachiti,RO,47.7667,26.6833,60.58,95,100,16.13,overcast clouds
325,Boa Vista,BR,2.8197,-60.6733,85.98,62,75,5.75,broken clouds
326,Shelburne,CA,44.0787,-80.2041,43.25,95,100,12.97,light rain
327,Mukhen,RU,48.1,136.1,49.19,90,99,3.62,overcast clouds
328,Kathu,TH,7.9178,98.3332,83.62,87,80,11.39,broken clouds
329,Abengourou,CI,6.7297,-3.4964,88.12,55,45,2.62,scattered clouds
330,Natal,BR,-5.795,-35.2094,86.65,62,40,14.23,scattered clouds
331,Villa Del Rosario,CO,7.8339,-72.4742,86.38,58,40,6.98,scattered clouds
332,Stephenville,US,32.2207,-98.2023,72.19,88,90,5.75,moderate rain
333,Kropotkin,RU,45.4375,40.5756,69.1,77,6,6.24,clear sky
334,Brae,GB,60.3964,-1.353,49.91,72,85,7.11,overcast clouds
335,Kadhan,PK,24.481,68.9859,86.2,74,2,15.41,clear sky
336,Lebowakgomo,ZA,-24.2,29.5,63.5,34,6,4.12,clear sky
337,Beyneu,KZ,45.3167,55.2,86.05,25,1,1.83,clear sky
338,Victoria,HK,22.2855,114.1577,86.97,82,63,5.99,broken clouds
339,San Francisco,US,37.7749,-122.4194,74.91,79,20,1.99,few clouds
340,Pierre,US,44.3683,-100.351,52.0,79,90,8.01,overcast clouds
341,Lafia,NG,8.4833,8.5167,95.74,36,41,4.07,scattered clouds
342,Sesheke,ZM,-17.4759,24.2968,63.57,24,0,1.72,clear sky
343,Chokurdakh,RU,70.6333,147.9167,44.37,61,30,12.12,scattered clouds
344,San Juan,AR,-31.5375,-68.5364,71.73,25,28,16.28,scattered clouds
345,Nabire,ID,-3.3667,135.4833,76.32,92,72,3.0,broken clouds
