City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Westport,US,2021-05-27 15:59:03,41.1415,-73.3579,80.89,50,3,1.01
183,Kuusamo,FI,2021-05-27 16:03:21,65.9667,29.1833,46.44,46,0,10.36
184,Dikson,RU,2021-05-27 16:03:21,73.5069,80.5464,23.31,94,38,5.53
185,Athens,GR,2021-05-27 15:58:47,37.9795,23.7162,82.36,47,20,4.0
186,Aklavik,CA,2021-05-27 16:03:21,68.2191,-135.0107,28.4,80,90,5.75
187,Seymchan,RU,2021-05-27 16:03:22,62.8833,152.4333,40.5,70,16,7.25
188,Gornyy,RU,2021-05-27 16:03:22,55.1153,83.9059,48.69,63,29,18.14
189,Ostrovnoy,RU,2021-05-27 16:03:22,68.0531,39.5131,46.92,41,100,14.45
190,Zheleznodorozhnyy,RU,2021-05-27 16:03:23,55.7503,38.0042,70.02,70,70,2.57
191,Oskemen,KZ,2021-05-27 16:03:23,49.9565,82.6119,78.76,36,75,18.07
192,Seoni Malwa,IN,2021-05-27 16:03:23,22.45,77.4667,89.38,41,84,13.24
193,Hobyo,SO,2021-05-27 16:03:24,5.3505,48.5268,80.35,75,94,20.74
194,Estelle,US,2021-05-27 16:01:24,29.8458,-90.1067,87.01,62,75,4.61
195,Stykkisholmur,IS,2021-05-27 16:00:12,65.0757,-22.7297,47.48,78,12,7.09
196,Zhuhai,CN,2021-05-27 16:03:24,22.2769,113.5678,87.06,79,20,10.85
197,Sao Joao Da Barra,BR,2021-05-27 16:03:25,-21.6403,-41.0511,79.32,68,76,3.04
198,Saint George,US,2021-05-27 16:02:53,37.1041,-113.5841,84.34,16,1,1.99
199,Tiznit,MA,2021-05-27 16:03:25,29.5833,-9.5,74.17,52,67,10.49
200,Strezhevoy,RU,2021-05-27 16:03:25,60.7333,77.5889,42.78,77,100,14.88
201,Adrar,MR,2021-05-27 16:03:26,20.5022,-10.0711,104.4,11,1,0.98
202,Baghdad,IQ,2021-05-27 16:02:59,33.3406,44.4009,100.18,9,0,2.28
203,Charters Towers,AU,2021-05-27 16:03:26,-20.1,146.2667,60.44,86,3,4.5
204,Nioro,GM,2021-05-27 16:03:27,13.35,-15.75,104.27,14,47,6.98
205,Indio,US,2021-05-27 15:59:57,33.7206,-116.2156,91.13,26,0,4.0
206,Northam,GB,2021-05-27 16:03:27,51.0333,-4.2167,64.15,74,99,4.74
